Starting IRSC sequence at 03:47:00Z on MJD 57591

RUN PARAMETERS FOR THIS RUN
 CX =  161  Center of camera in image, x
 CY =  123  Center of camera in image, y
 RC =   15  Outer radius of image of camera
 RO =  100  Outer radius of mask region
 RE =  135  Outer 'useful' radius
 RM =  145  Radius of mirror in image 
 NF =  256  Number of frames avgd per exposure
 SL =  127  Sky level in gifs
NAV =   16  Number of exposures avgd for sky subtr
IVL =   30  Interval in seconds between frames
SHF =    3  Bits to downshift raw images for processing


raw fits file dtb  dte  sky	sig
cR065330.fit   0     4   331  1.89
cR065400.fit   0     4   331  1.68
cR065430.fit   0     4   331  1.79
cR065500.fit   0     5   331  1.81
cR065530.fit   0     4   331  1.66
cR065600.fit   0     4   331  1.96
cR065630.fit   0     4   331  2.14
cR065700.fit   0     5   331  1.69
cR065730.fit   0     4   331  2.22
cR065800.fit   0     5   331  2.10
cR065830.fit   0     4   331  2.26
cR065900.fit   0     4   331  2.38
cR065930.fit   0     4   331  2.16
cR070000.fit   0     5   331  2.14
cR070030.fit   0     5   331  2.13
cR070100.fit   0     5   331  2.13
cR070130.fit   0     5   331  2.20
cR070200.fit   0     4   331  2.00
cR070230.fit   0     4   331  1.81
cR070300.fit   0     4   331  1.81
cR070330.fit   0     4   331  2.00
cR070400.fit   0     5   331  1.91
cR070430.fit   0     4   331  2.28
cR070500.fit   0     4   331  2.37
cR070530.fit   0     4   331  2.51
cR070600.fit   0     5   331  2.84
cR070630.fit   0     4   331  2.84
cR070700.fit   0     4   331  2.71
cR070730.fit   0     4   331  2.67
cR070800.fit   0     5   331  2.90
cR070830.fit   0     4   331  2.90
cR070900.fit   0     4   331  2.85
cR070930.fit   0     4   331  2.88
cR071000.fit   0     5   331  2.93
cR071030.fit   0     4   331  3.10
cR071100.fit   0     5   331  2.96
cR071130.fit   0     4   331  2.65
cR071200.fit   0     4   331  2.78
cR071230.fit   0     4   330  2.65
cR071300.fit   0     4   331  1.87
cR071330.fit   0     4   331  2.00
cR071400.fit   0     5   331  1.75
cR071430.fit   0     4   330  1.50
cR071500.fit   0     4   331  2.04
cR071530.fit   0     4   331  2.10
cR071600.fit   0     5   330  1.59
cR071630.fit   0     4   331  2.01
cR071700.fit   0     4   331  2.10
cR071730.fit   0     4   331  2.22
cR071800.fit   0     4   331  2.28
cR071830.fit   0     5   331  2.09
cR071900.fit   0     4   331  2.05
cR071930.fit   0     4   331  2.06
cR072000.fit   0     5   331  2.24
cR072030.fit   0     4   331  2.26
cR072100.fit   0     4   331  1.90
cR072130.fit   0     4   331  1.85
cR072200.fit   0     5   331  2.00
cR072230.fit   0     4   331  1.81
cR072300.fit   0     4   331  1.86
cR072330.fit   0     5   331  1.75
cR072400.fit   0     4   331  1.78
cR072430.fit   0     4   331  1.58
cR072500.fit   0     4   331  1.68
cR072530.fit   0     4   331  1.78
cR072600.fit   0     5   331  1.76
cR072630.fit   0     4   331  1.98
cR072700.fit   0     5   331  1.92
cR072730.fit   0     4   331  1.94
cR072800.fit   0     4   331  2.31
cR072830.fit   0     4   331  3.03
cR072900.fit   0     5   331  3.47
cR072930.fit   0     4   331  3.73
cR073000.fit   0     5   331  3.64
cR073030.fit   0     4   331  3.70
cR073100.fit   0     4   331  4.44
cR073130.fit   0     4   331  4.55
cR073200.fit   0     5   331  6.74
cR073230.fit   0     4   331  9.21
cR073300.fit   0     4   331 13.47
cR073330.fit   0     4   331 14.91
cR073400.fit   0     4   331 20.98
cR073430.fit   0     5   331 23.73
cR073500.fit   0     4   332 24.61
cR073530.fit   0     4   333 25.95
cR073600.fit   0     4   333 27.31
cR073630.fit   0     4   333 29.25
cR073700.fit   0     5   334 31.31
cR073730.fit   0     4   335 32.48
cR073800.fit   0     4   336 30.89
cR073830.fit   0     5   336 36.57
cR073900.fit   0     4   337 40.53
cR073930.fit   0     4   338 47.64
cR074000.fit   0     5   338 54.16
cR074030.fit   0     5   339 59.06
cR074100.fit   0     4   340 66.85
cR074130.fit   0     4   341 73.80
cR074200.fit   0     5   344 83.77
cR074230.fit   0     4   347 93.13
cR074300.fit   0     5   350 100.65
cR074330.fit   0     4   353 104.49
cR074400.fit   0     5   355 103.54
cR074430.fit   0     4   358 101.37
cR074500.fit   0     4   360 97.31
cR074530.fit   0     5   363 93.78
cR074600.fit   0     4   365 90.95
cR074630.fit   0     5   367 85.11
cR074700.fit   0     5   368 81.41
cR074730.fit   0     4   369 78.10
cR074800.fit   0     4   370 74.52
cR074830.fit   0     4   372 73.38
cR074900.fit   0     5   374 72.60
cR074930.fit   0     4   374 72.71
cR075000.fit   0     5   373 74.44
cR075030.fit   0     4   372 74.79
cR075100.fit   0     5   372 76.32
cR075130.fit   0     4   372 77.81
cR075200.fit   0     4   372 80.23
cR075230.fit   0     5   372 82.20
cR075300.fit   0     4   371 83.67
cR075330.fit   0     4   370 84.10
cR075400.fit   0     6   366 84.41
cR075430.fit   0     4   369 84.51
cR075500.fit   0     5   369 84.67
cR075530.fit   0     4   369 86.16
cR075600.fit   0     4   368 87.96
cR075630.fit   0     5   367 89.15
cR075700.fit   0     4   367 89.26
cR075730.fit   0     5   366 88.28
cR075800.fit   0     4   366 87.48
cR075830.fit   0     4   367 87.50
cR075900.fit   0     6   368 88.13
cR075930.fit   0     4   368 88.86
cR080000.fit   0     4   369 88.81
cR080030.fit   0     5   369 88.03
cR080100.fit   0     4   370 88.04
cR080130.fit   0     5   371 86.96
cR080200.fit   0     4   371 85.52
cR080230.fit   0     4   371 84.69
cR080300.fit   0     5   371 84.22
cR080330.fit   0     4   371 82.26
cR080400.fit   0     6   371 81.50
cR080430.fit   0     4   371 81.34
cR080500.fit   0     5   370 82.34
cR080530.fit   0     4   369 81.94
cR080600.fit   0     5   369 82.67
cR080630.fit   0     5   369 85.16
cR080700.fit   0     5   369 86.71
cR080730.fit   0     4   369 86.94
cR080800.fit   0     4   368 87.35
cR080830.fit   0     4   366 86.81
cR080900.fit   0     5   365 86.38
cR080930.fit   0     4   364 85.99
cR081000.fit   0     5   363 86.18
cR081030.fit   0     4   363 87.34
cR081100.fit   0     5   362 88.05
cR081130.fit   0     5   361 86.73
cR081200.fit   0     5   361 87.02
cR081230.fit   0     4   360 87.93
cR081300.fit   0     5   360 87.31
cR081330.fit   0     4   360 87.86
cR081400.fit   0     5   360 86.94
cR081430.fit   0     5   359 86.82
cR081500.fit   0     4   359 86.75
cR081530.fit   0     5   359 87.43
cR081600.fit   0     4   359 85.29
cR081630.fit   0     5   359 83.52
cR081700.fit   0     4   358 79.91
cR081730.fit   0     5   357 76.47
cR081800.fit   0     4   357 73.23
cR081830.fit   0     4   357 69.71
cR081900.fit   0     5   357 66.82
cR081930.fit   0     5   357 62.99
cR082000.fit   0     5   357 63.52
cR082030.fit   0     4   357 64.07
cR082100.fit   0     5   358 63.53
cR082130.fit   0     4   359 62.63
cR082200.fit   0     5   360 62.38
cR082230.fit   0     4   360 62.02
cR082300.fit   0     5   361 62.24
cR082330.fit   0     4   360 61.16
cR082400.fit   0     4   360 61.62
cR082430.fit   0     4   359 63.39
cR082500.fit   0     5   359 63.33
cR082530.fit   0     4   358 64.34
cR082600.fit   0     4   358 65.26
cR082630.fit   0     5   357 66.22
cR082700.fit   0     4   356 68.85
cR082730.fit   0     4   355 72.06
cR082800.fit   0     5   354 72.66
cR082830.fit   0     4   352 70.18
cR082900.fit   0     4   351 69.46
cR082930.fit   0     5   351 69.09
cR083000.fit   0     4   350 69.84
cR083030.fit   0     5   350 70.33
cR083100.fit   0     4   349 68.97
cR083130.fit   0     5   348 66.30
cR083200.fit   0     5   347 63.61
cR083230.fit   0     4   347 60.85
cR083300.fit   0     4   346 57.05
cR083330.fit   0     5   345 54.86
cR083400.fit   0     4   344 53.80
cR083430.fit   0     4   344 52.54
cR083500.fit   0     5   343 52.17
cR083530.fit   0     4   343 50.56
cR083600.fit   0     4   342 49.01
cR083630.fit   1     5   342 47.10
cR083700.fit   0     4   341 44.73
cR083730.fit   0     5   341 42.42
cR083800.fit   0     4   340 40.29
cR083830.fit   0     4   340 38.10
cR083900.fit   0     5   339 36.52
cR083930.fit   0     4   339 34.29
cR084000.fit   0     5   338 32.24
cR084030.fit   0     4   338 30.04
cR084100.fit   0     4   337 28.58
cR084130.fit   0     5   336 27.72
cR084200.fit   0     4   336 27.28
cR084230.fit   0     5   336 28.41
cR084300.fit   0     4   336 30.39
cR084330.fit   0     4   336 32.43
cR084400.fit   0     5   336 33.54
cR084430.fit   0     4   336 32.20
cR084500.fit   0     5   336 30.55
cR084530.fit   0     4   336 27.64
cR084600.fit   0     4   336 23.86
cR084630.fit   0     5   336 21.26
cR084700.fit   0     4   336 19.26
cR084730.fit   0     5   336 17.20
cR084800.fit   0     4   336 15.38
cR084830.fit   0     4   336 13.87
cR084900.fit   0     5   336 13.03
cR084930.fit   0     4   337 12.86
cR085000.fit   0     5   337 12.97
cR085030.fit   0     4   337 13.05
cR085100.fit   0     4   336 13.78
cR085130.fit   0     5   336 14.53
cR085200.fit   0     4   335 14.91
cR085230.fit   0     4   335 15.30
cR085300.fit   0     4   335 15.21
cR085330.fit   0     5   334 15.02
cR085400.fit   0     4   334 14.54
cR085430.fit   0     5   334 13.93
cR085500.fit   0     4   333 13.56
cR085530.fit   0     5   333 12.88
cR085600.fit   0     4   333 12.09
cR085630.fit   0     5   332 11.33
cR085700.fit   0     4   332 10.49
cR085730.fit   0     4   332 10.00
cR085800.fit   0     5   332  9.22
cR085830.fit   0     5   332  8.22
cR085900.fit   0     5   332  7.03
cR085930.fit   0     4   544 144.45
cR090000.fit   0     5   548 135.74
cR090030.fit   0     4   550 125.71
cR090100.fit   0     4   551 117.12
cR090130.fit   0     5   553 108.31
cR090200.fit   0     4   554 99.76
cR090230.fit   0     4   554 91.33
cR090300.fit   0     5   555 82.46
cR090330.fit   0     5   555 73.85
cR090400.fit   0     4   555 64.52
cR090430.fit   0     4   554 55.68
cR090500.fit   0     5   553 46.91
cR090530.fit   0     4   553 38.49
cR090600.fit   0     4   554 30.30
cR090630.fit   0     5   554 22.36
cR090700.fit   0     4   554 15.20
cR090730.fit   0     5   553  9.60
cR090800.fit   0     4   553  8.94
cR090830.fit   0     4   553  8.89
cR090900.fit   0     5   553  8.34
cR090930.fit   0     4   553  7.77
cR091000.fit   0     5   552  7.81
cR091030.fit   0     4   552  7.50
cR091100.fit   0     4   553  6.88
cR091130.fit   0     5   552  7.16
cR091200.fit   0     4   552  6.82
cR091230.fit   0     4   552  6.51
cR091300.fit   0     5   551  6.71
cR091330.fit   0     4   552  6.35
cR091400.fit   0     5   552  5.75
cR091430.fit   0     5   552  6.12
cR091500.fit   0     4   552  5.87
cR091530.fit   0     5   552  5.22
cR091600.fit   0     4   552  5.81
cR091630.fit   0     6   552  5.67
cR091700.fit   0     4   553  4.69
cR091730.fit   0     4   552  5.54
